text,emotion,response,langs_used
"nghe bài hát nhớ cha và mẹ , 55 năm trước mẹ mất sớm cha ngồi nghế ôm con vào lòng lúc đó con mới 6 tuổi vẫn nhớ nc mắt cha rơi đầy đầu và mặt con,vậy cha đứng vậy gà trống nuôi đàn con khôn lớn ,con cảm ơn cha cha nhiều lắm",Sadness,"Cảm xúc này rồi cũng sẽ qua, như bao lần khác bạn đã vượt qua.",
"Khổ đau thay khi sinh ra làm kiếp người là phải trải nghiệm rồi mới thấm thía... Nhớ ngày xưa hay nghe câu ""Có sinh con ra mới biết lòng cha mẹ"", giờ hiểu ra rồi thì hai bố con đã không còn có thể nói chuyện với nhau nữa...",Sadness,Mình tin rằng bạn xứng đáng với những điều tốt đẹp hơn thế.,
"Còn 9 ngày nữa là ngày giổ Ba mình! Đã 5 năm rồi nhưng ko lúc nào mình quên Ba, bất cứ nấu món gì hay kể chuyện gì mấy anh em mình luôn ấn tượng và xúc động nhớ về Ba? Con nghĩ có lẻ hết kiếp này cho đến kiếp sau Ba vẫn là Ba của các con, ko ai thay thế được , vì Ba là nguồn an ủi và sức mạnh luôn che chở cho các con từ khi mới lọt lòng? Qua những lời dặn dò và tâm sự của Mạ, cho đến ngày hôm nay Mạ đã tuổi xế chiều 92tuổi mà vẫn còn nhớ về Ba những chuyện xưa, hiện tại thì ko biết, con thấy tình yêu thương Ba Mạ dành cho các con vô bờ bến ko lấy gì đo đẽm hết, các con luôn yêu thương Ba Mạ nhiều",Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
Lời bài hát Ơn Cha Lời bài hát Cha ơi cha đã già rồi Lòng con ghi khắc đời đời ơn cha Trời xanh biển rộng bao la Làm sao sánh được tình cha muôn ngàn Nhìn lá vàng rơi. Lòng con nghẹn ngào Thương cha cả đời .vất vả gian nan Mình cha lo lắng cưu mang Mẹ con mất sóm dở dang Bao gian khổ cha vẫn không màng Còn nhớ ngày xưa. mỗi khi chiều về Cha con nô đùa cổng trước nhà sau Hàng tre khóm trúc vườn rau Sợ con vấp ngã con đau Cha ân cần nói dặn từng câu DK Con mãi không quên. Những Lời ru. Của cha thay mẹ Ôm con vào lòng.Trời đông buốt giá Lúc ốm lúc đau. Một Mình cha.. nắng mưa dãi giầu. Ôm con vào lòng Mắt lệ đậm sâu Chiều xuống dần trôi .mà nghe chạnh lòng Lưng cha đã còng . Tóc đã bạc phai Thầm than số kiếp óan ai Trời gieo chi nổi đắng cay Hay chỉ là phận số an bài,Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
"Mẹ hiền còn sống là mặt trời giữa trưa chói chang Mẹ hiền khuất bóng là mặt trời đã lặn Mẹ hiền còn sống là mặt trăng sáng tỏ Mẹ hiền khuất rồi là đêm tối âm u. Gửi tất cả mọi người đang đọc bài viết này, chúng ta không biết nhau nhưng tôi cầu chúc cho các bạn những điều tốt đẹp nhất trong cuộc sống và hạnh phúc",Neutral,"Có những ngày chỉ nên tồn tại nhẹ nhàng — không áp lực, không kỳ vọng.",
"nghe bài hát nhớ cha vô cùng ,11 năm vắng bóng cha ,con biết ơn cha ,mẹ con mất sớm cha vừa làm mẹ dậy đỗ chúng con chúng con biết ơn ch nhiều nhiều lắm",Sadness,"Dù bây giờ có khó khăn, nhưng rồi mọi chuyện cũng sẽ dần ổn thôi.",
"Cảm ơn tác giả và cảm ơn anh dũng sến đã hát bài này làm cho em nhớ cha mẹ mình nhiều lắm, mà e chưa làm gì đc cho cha mẹ đc gì thật buồn ",Sadness,"Thời gian sẽ giúp bạn chữa lành, chỉ cần đừng bỏ cuộc.",
Tôi thương cha tôi nhưng đến cuois cùng tôi suy nghĩ khác cha tôi hai hướng khác nhau và cha tôi ông ấy còn bỏ tôi nhưng tôi vẫn không hư,Sadness,"Hãy nhẹ nhàng với chính mình, bạn không cần phải mạnh mẽ mọi lúc đâu.",
"Hôm nay là ngày phát tang cha chồng của chị ruột mình, tình cờ mình xem được bài hát về Cha này làm cho tôi nhớ Bác Trai chết đó và nhớ Ba Mẹ của tôi rất nhiều . Chỉ biết khóc và khóc thôi. Yên nghỉ Bác nhé. Thương và nhớ Bác , cũng như Ba Mẹ của con rất rất rất nhiều ",Sadness,"Bạn đã cố gắng rất nhiều rồi, hãy tự ôm lấy mình một cái.",
Cảm ơn tác giả và và sĩ. Khi nghe bài này mình không cầm đc nước mắt thương ba và mẹ quá. Mẹ mình lúc mới 39 tuổi. ba ở vậy luôn các con ăn học trưởng thành .Cụ mất hơn 1 năm đúng vào đại dịch covid ace các con không có máy bay về để vĩnh biệt ba lần cuối. Các con của ba ở châu âu thương nhớ ba nhiều . Cầu mong ba an nghỉ ở nơi chín suối,Sadness,"Dù bây giờ có khó khăn, nhưng rồi mọi chuyện cũng sẽ dần ổn thôi.",
"Cách đây 19 năm vào ngày buồn của gia,định ta ngay hom nay vì cuộc sống e ko vê dc mong toan thê gia.định ta.đoạn kết thuong yêu lần nhau ky niem.ngày.mat.người trả kính yeu",Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
"Bai hat nghe y nghia qua ,bô toi mât đa hon truc năm rôi nhung chua ngay nao tôi nguôi nho bô ,,bô oi con nho bô lăm bô oi...",Sadness,"Thời gian sẽ giúp bạn chữa lành, chỉ cần đừng bỏ cuộc.",
"Nghe mà cảm động quá, mình mất cha7 năm nay rồi, hôm nay nghe bài hát này mà mình ko cầm được nước mắt, những cảnh tượng ngày xưa ua về",Sadness,"Thời gian sẽ giúp bạn chữa lành, chỉ cần đừng bỏ cuộc.",
"Nghe bài hát nhớ cha vô cùng ,đã hơn 3 năm cha rời xa cuộc đời này, ân hận nhất là chưa chăm sóc cho cha được ngày nào và lúc nào cũng để cha phải lo cho con dù con đã có gia đình rồi. Cha ơi con cảm ơn cha đã cho con đến với thế giới này và làm con gái của cha.con mong kiếp sau và mãi sau này cha mãi làm cha của con. Người đàn ông vỹ đại nhất trong cuộc đời của con.",Sadness,"Thời gian sẽ giúp bạn chữa lành, chỉ cần đừng bỏ cuộc.",
Cha minh mới mất 1 tuần k co noi dau nào bằng noi dau mất cha mẹ. Các ban ơi còn cha còn me thì hãy ráng thương va trân trọng nhe. Mình nge bai này ma mình muốn chết theo cha mình. Lúc còn sống cha mình thương mình lam. Cha ơi con mai nhớ cha cha oi cha,Sadness,Mình tin rằng bạn xứng đáng với những điều tốt đẹp hơn thế.,
Ôi cảm động quá yến rơi nước mắt rồi lời bài hát và sự thể hiện giọng hát ngọt ngào và sâu lắng làm cho yến rất rất nhớ về người cha kính yêu của mình quá yến xin cảm ơn bài hát nhiều nhiều lắm xin chúc a c s đã thể hiện bài hát luôn luôn được nhiều nhiều sức khỏe và xin chúc a công danh sự nghiệp luôn luôn thành công và tốt đẹp ạ ôi thật quá tuyệt vời lắm lắm luôn ạ 🤗,Sadness,"Thời gian sẽ giúp bạn chữa lành, chỉ cần đừng bỏ cuộc.",
"Cha tôi đã đi mất 30 năm rồi , vậy mà mỗi lần đám giỗ tôi thấy cha tôi VẪN CÒN Ở ĐÂU QUANH QUẨN BÊN TÔI , NGHE BÀI HÁT NẦY LÒNG TRÀN NGẬP CẢM XÚC , TÔI BỔNG NHỚ MẸ NHỚ CHA ...",Sadness,"Hãy nhẹ nhàng với chính mình, bạn không cần phải mạnh mẽ mọi lúc đâu.",
"Nghe em hát mà chị thấy nhớ thương cha mẹ k cầm đc nc mắt.giọng hát truyền cảm,xúc động lòng người .chị nghe đi nghe lại rất nhiều lần và sẽ tập hát bài này nhân ngày giỗ cha của mình ",Sadness,"Cảm xúc này rồi cũng sẽ qua, như bao lần khác bạn đã vượt qua.",
"Một lời chân thành : rất rất cảm ơn bạn Dũng! Vì những lời ca được phát ra từ trong chính con tim của Bạn, đã tạo nên những rung cảm sâu sắc trong TÂM của chính bản thân mình, về người cha mà mình luôn tôn quý cao cả nhất của cả cuộc đời này! Một lần nữa xin cảm ơn Bạn!!! ",Sadness,"Đôi khi chỉ cần cho bản thân một chút yên lặng, là đã đủ tốt rồi.",
Nghe a hát em nhớ đến cha của em cha em mất khi em còn bé tí còn nằm trong tay mẹ cho đến giờ đây nghe anh hát mà em nhớ đến ba Em bao nhiêu năm rồi nhìn ba ma b,Sadness,"Dù bây giờ có khó khăn, nhưng rồi mọi chuyện cũng sẽ dần ổn thôi.",
"hồi bé theo bố đánh cá,lên rừng chặt cây lấy quả.. thoắt cái con đã 27 tuổi rồi. mong cha mẹ luôn luôn mạnh khoẻ bên ae chúng con. nuôi con 12 năm phổ thông,thêm 4 năm đại học bố mẹ đã vất vả lắm rồi. hy vọng con khi con về,bố mẹ sẽ luôn ở cạnh bên con",Neutral,"Không cần phải cảm thấy quá nhiều — chỉ cần hiện diện, thế là đủ.",
Lời bài hát Cha ơi cha đã già rồi Lòng con ghi khắc đời đời ơn cha Trời xanh biển rộng bao la Làm sao sánh được tình cha muôn ngàn Nhìn lá vàng rơi lòng con nghẹn ngào Thương cha cả đời vất vả gian nan Mình cha lo lắng cưu mang Mẹ con mất sóm dở dang Bao gian khổ cha vẫn không màng Còn nhớ ngày xưa mỗi khi chiều về Cha con nô đùa cổng trước nhà sau Hàng tre khóm trúc vườn rau Sợ con vấp ngã con đau Cha ân cần nói dặn từng câu Con mãi không quên những lời ru của cha thay mẹ Ôm con vào lòng trời đông buốt giá Lúc ốm lúc đau một mình cha Nắng mưa dãi giầu ôm con vào lòng Mắt lệ đậm sâu Chiều xuống dần trôi mà nghe chạnh lòng Lưng cha đã còng tóc đã bạc phai Thầm than số kiếp óan ai Trời gieo chi nổi đắng cay Hay chỉ là phận số an bài. Rút gọn,Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
Cha ơi cha đã già rồi Lòng con ghi khắc đời đời ơn cha Trời xanh biển rộng bao la Làm sao sánh được tình cha muôn ngàn Nhìn lá vàng rơi lòng con nghẹn ngào Thương cha cả đời vất vả gian nan Mình cha lo lắng cưu mang Mẹ con mất sóm dở dang Bao gian khổ cha vẫn không màng Còn nhớ ngày xưa mỗi khi chiều về Cha con nô đùa cổng trước nhà sau Hàng tre khóm trúc vườn rau Sợ con vấp ngã con đau Cha ân cần nói dặn từng câu Con mãi không quên những lời ru của cha thay mẹ Ôm con vào lòng trời đông buốt giá Lúc ốm lúc đau một mình cha Nắng mưa dãi giầu ôm con vào lòng Mắt lệ đậm sâu Chiều xuống dần trôi mà nghe chạnh lòng Lưng cha đã còng tóc đã bạc phai Thầm than số kiếp óan ai Trời gieo chi nổi đắng cay Hay chỉ là phận số an bài.,Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
Cảm ơn hát hay quá đúng hoàn cảnh của tôi nghe mà tôi quá nhỏ đến người cha mẹ mất cách đây hơn ba mươi năm nghe hay quá a Di Đà Phật,Sadness,Mình tin rằng bạn xứng đáng với những điều tốt đẹp hơn thế.,
30năm xa xứ con đã làm đc điều bố mong muốn đưa gđ ra tp ở.trung và hiếu.con chon chữ hiếu đành phụ tình a.mong nơi đó a một đời bình an hp.,Neutral,Đôi khi “không có gì để nói” cũng là một cảm xúc rất thật.,
Cha mẹ ơi ở nơi đó cha mẹ có nhớ con không ? Các con nhớ cha mẹ Vậy là 8 năm con mất mẹ 1năm rưỡi con mất cha..Vĩnh biệt cha mẹ nơi suối vàng cha mẹ yên nghỉ nơi suối vàng.. các con nhớ thương cha mẹ,Sadness,"Đôi khi chỉ cần cho bản thân một chút yên lặng, là đã đủ tốt rồi.",
"Cha con nay tóc đã bac phơ vi côg vc nên đôi luc cha say vân thuog la mắng con cháu nhug con bit đó cũng chỉ la dấu hiệu bênh già ... Công cha , nghĩa me con nguyen k bao gio quên",Neutral,"Hãy cứ điềm tĩnh, mọi thứ đang ở đúng vị trí của nó.",
" Ái biệt ly khổ. Trong cái tình yêu thương giữa vợ chồng, con cái, anh em đang mặn nồng, thắm thiết mà bị chia ly, thì thật không có gì đau đớn hơn. Sự chia ly có hai loại: sanh ly và tử biệt. Sanh ly khổ. Một gia đình đang sống trong cảnh đầm ấm vui vầy, bỗng bị hoàn cảnh bắt buộc, hay vì một tai họa thình lình xảy đến, như giặc giã, bão lụt...làm cho mỗi người bơ vơ thất lạc mỗi nơi: kẻ đầu này trông đợi, người gốc kia nhớ chờ. thật đau lòng xót dạ ! Người đời thường nói: ""Thà lìa tử, chứ ai nỡ lìa sanh?"". Ðó là cái khổ của ""Sanh ly"". Tử biệt khổ. Nhưng mặc dù xa cách nhau người sống còn có ngày gặp gỡ; chứ chết rồi bao thuở được vum vầy? Vì vậy, đứng trước cảnh chết, là một sự biệt ly vĩnh viễn, con người không ai là chằng khổ đau. Do đó, lâm phải cảnh tử biệt này, có người đã xót thương rầu rĩ đến quên ăn, bỏ ngủ, có người đau đớn, tuyệt vọng đến nỗi toan chết theo người quá cố. Ðó là cái khổ của ""tử biệt"".",Sadness,"Buồn là một phần của cuộc sống, hãy cho phép mình nghỉ ngơi một chút nhé.",
" Hạnh phúc là gì? Là người ai cũng muốn sung sướng hạnh phúc, nhưng hạnh phúc là gì thì khó mà trả lời chính xác vì nó tùy quan niệm và trình độ tiến hóa của mỗi người. Đối với người nghèo thì tiền của là hạnh phúc. Đang đói mà có cơm ăn là hạnh phúc. Cô đơn mà có người thương là hạnh phúc. Đối với đa số quần chúng thì hạnh phúc là thỏa mãn những nhu cầu vật chất, thể xác như ăn uống, tình dục, vợ đẹp con ngoan, nhà cửa tài sản. Sau khi đạt được những nhu cầu vật chất thì hạnh phúc là thỏa mãn nhu cầu danh vọng, địa vị, quyền hành như giám đốc, tỉnh trưởng, bộ trưởng, thủ tướng, tổng thống, v.v... Trên phương diện tương đối ta có thể định nghĩa hạnh phúc là khi những nhu cầu thèm khát được thỏa mãn. Nhưng sự thèm khát của con người không bao giờ chấm dứt. Khi chưa có thì thèm muốn có, khi có rồi thì sợ mất, hoặc nếu không thì lại thèm muốn cái khác. Do đó cái hạnh phúc mà người thế gian theo đuổi chỉ là một ảo tưởng, tưởng nắm bắt được nhưng trong thoáng giây nó lại tuột mất và phải chạy đi tìm nữa.",Neutral,"Có những ngày chỉ nên tồn tại nhẹ nhàng — không áp lực, không kỳ vọng.",
"Con trai ơi ! Con hát về cha thật là hay trên cả tuyệt vời. Giọng con rất là ngọt ngào,cô nghe ấm áp từng câu từng từ và nhớ da diết về người cha của cô đã mất đến nay bảy năm tròn.Nếu còn sống năm nay cụ được 99 tuổi .",Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
Cảm ơn tác giả và ca sĩ thể hiện bài hát này tuyệt vời Giọng hát của cháu mượt mà tình cảm Tâm trạng của chú đung như bài hát Nghe mà rơi lệ,Sadness,"Bạn đã cố gắng rất nhiều rồi, hãy tự ôm lấy mình một cái.",
Tôi đã tỉnh giấc sau một cơn ác mộng lúc 3:30 am.tôi đã mơ thấy ba tôi ra đi mãi mãi.tôi mong đó chỉ là giấc mơ.phật ơi hãy cứu ba con lần nữa.nammôadiđaphat.nam mô cứu khổ cứu nạn quán thế âm bồ tát,Sadness,"Hãy nhẹ nhàng với chính mình, bạn không cần phải mạnh mẽ mọi lúc đâu.",
Đi làm xa nhà. Mồ côi mẹ nên nghe a hát nhớ cha thấu xương mặc dù đã có vợ con kề bên .hi vọng cha mình sống thật khỏe,Sadness,"Buồn là một phần của cuộc sống, hãy cho phép mình nghỉ ngơi một chút nhé.",
Ngày ba không còn trên đời này nữa là ngày con sinh con của con • không về chịu tang ba •••con bất hiếu quá gần đến ngày giỗ lần 19 năm rồi •nếu có kiếp sau con muốn được làm con của ba,Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
"Tôi Hải Đăng xin mở lời nói lên cảm xúc của chính Tôi,1 cảm xúc xâu thẳm từ trái tim Tôi,xâu thẳm từ đáy lòng Tôi. Các bạn ơi Tôi đã mồ côi cha từ bé nhưng khi nghe thấy nhạc phẩm này những hình ảnh về cha sống lại trong tôi và nó đã xua tan đi những u tư buồn và nhớ trong tôi ở hiện tại. Cám ơn tác giả và cảm ơn người trình bày đã đưa tôi quay trở về với quá khứ để gặp lại cha tôi trong cuộc đời mình 1 lần nữa xin cảm ơn và xin đa tạ ngàn lần người sác tácvà người trình bày xin cảm ơn và xin cảm ơn. Hải Đăng",Sadness,"Cứ khóc nếu muốn, rồi lau nước mắt và đi tiếp nhé.",
"Điều thứ nhất: Các loài chúng sanh ở thế gian thích làm điều ác, mạnh hiếp yếu, chèn ép nhau, tàn sát tổn hại ăn nuốt lẫn nhau, không biết làm lành để chịu hậu quả, nên có kẻ cùng khổ, cô độc, câm điếc đui ngọng, si ác ngông cuồng là do đời trước không tin đạo đức, không chịu làm lành. Những hạng tôn quí, hào phú, hiền minh, trưởng giả, trí dõng tài cao là do biết từ ái hiếu thuận, tu thiện tích đức từ đời trước. Khi còn sanh tiền đã làm sai trái, sau khi mạng chung vào chốn u minh chuyển thọ thân hình sanh vào các nẻo, nên có địa ngục, súc sanh – ví như lao ngục ở thế gian có cực hình kịch khổ – thần thức tùy tội đã tạo mà thọ mạng có dài ngắn theo nhau trả báo, tội ác chưa hết lại tiếp tục chịu tội, xoay vần nhiều kiếp không thôi rất khó giải thoát, khổ thống không thể nói hết được! Ác đạo tuần hoàn cảm ứng tự nhiên, tuy không báo ứng tức thời, nhưng thiện ác chung qui vẫn phải chịu quả báo. Điều thứ hai: Nhân loại thế gian không theo pháp luật, hoang dâm thái quá mặc tình phóng túng, trên thì không minh, tại vị không chính, hãm hại oan uổng, tổn hại trung lương, tâm miệng khác biệt, mưu toan nhiều bề, trong ngoài dối trá, giận dỗi ngu si, muốn lợi về mình, tham lam không chán, lợi hại được thua, oán giận thành thù, tan nhà mất mạng, không xét trước sau, giàu có keo kiệt không chịu bố thí, chất chứa cho đầy, nhọc tâm khổ thân, đến khi mạng chung không đem được gì, thiện ác họa phước tùy nghiệp thọ sanh, hoặc sanh vào nơi sung sướng hay vào chốn khổ độc. Thấy người làm lành lại còn hủy báng không chịu bắt chước, thường nghĩ trộm cắp, rình đoạt của người, tiêu phá hết rồi lại đi tìm nữa. Chết đọa vào ba đường ác chịu vô lượng khổ, xoay vần nhiều kiếp rất khó ra khỏi, đau khổ vô cùng. Điều thứ ba: Người đời nương nhau mà sống còn trong trời đất, thọ mạng chẳng được là bao? Kẻ bất lương tâm không chính đính, ôm lòng tà ác, luôn nghĩ dâm dục, phiền não tràn hông, thái độ tà ngụy buông lung, hao tổn tài sản, làm điều phi pháp, ai cầu xin gì cũng không chấp thuận, lại còn tụ bè kết đảng, hưng binh gây chiến đánh cướp giết hại, chiếm đoạt bức hiếp chu cấp cho vợ con, no thân hưởng lạc, khiến người chán ghét, lo lắng khổ cực, tạo nhiều tội ác, chết vào tam đồ chịu vô lượng khổ, qua lại nhiều kiếp, khó được giải thoát, khổ đau khôn xiết. Điều thứ tư: Người ta ở đời không chịu tu thiện, nói dối, nói lời hung dữ, nói đâm thọc, nói thêu dệt, ganh ghét người lành, hãm hại người hiền, bất hiếu với cha mẹ, khinh mạn sư trưởng, chẳng thành tín với bằng hữu, tự cao tự đại, cho mình có lý, cậy mình ỷ thế, lấn hiếp mọi người mong người kính nể, không biết hổ thẹn, ôm lòng kiêu mạn, khó thể giáo hóa. Nhờ chút phước đức từ đời trước, đời này làm ác phước đức mất hết, thọ mạng hết rồi, các điều ác bao vây, oán cừu dẫn dắt không sao tránh khỏi, chỉ việc tiến vào vạc lửa, thân thể tan nát, tâm thần thống khổ, bấy giờ nghĩ lại ăn năn thì đã muộn rồi! Điều thứ năm: Người đời phóng túng lười biếng không chịu làm lành, tu sửa thân tâm; cha mẹ khuyên bảo, ngang trái chống đối như là oan gia, phụ bạc ân nghĩa không chút báo đền, phóng túng lêu lổng, rượu chè xa hoa, đần độn bướng bỉnh, chẳng chút lễ nghĩa, không thể can gián, giao tiếp lục thân quyến thuộc không chút ân tình, không nhớ ơn cha mẹ, không đoái nghĩa thầy trò bằng hữu, chỉ lo cho tự thân, không được một điều lành, không tin Phật pháp, không tin sanh tử thiện ác, muốn hại hiền nhân, phá hoại Phật pháp, ngu si mông muội tự cho thông minh, không biết từ đâu sanh đến, chết sẽ đi về đâu, bất nhơn bất thuận lại muốn trường thọ. Thương xót khuyên bảo lại không chịu nghe, khô hơi khản tiếng cũng thành vô ích. Tâm ý cố chấp không chịu thấu hiểu. Mạng chung cận kề hối tiếc đã không tu thiện, đến khi nhắm mắt ăn năn hối hận sao còn kịp nữa! Trong vũ trụ, năm đường phân minh, thiện ác báo ứng họa phước đành rành, thân tự chịu lấy không ai thay được. Người thiện làm lành thì từ cảnh sướng đến cõi sướng, từ sáng vào sáng. Người ác làm ác từ cảnh khổ vào cõi khổ, từ tối vào chỗ tối. Ai hay biết được? Chỉ có đức Phật biết rõ khai thị chỉ dạy, người tuân hành rất ít, nên sanh tử không thôi, ác đạo không dứt. Người đời tạo ác như thế, nên tự nhiên có ba đường ác, chịu vô lượng khổ, xoay vần nhiều kiếp không có hạn kỳ ra khỏi, khó được giải thoát đau đớn không thể nói được. Do vậy nên có ngũ ác, ngũ thống, ngũ thiêu, như lò lửa lớn thiêu đốt thân người. Nếu tự nhứt tâm giữ ý, đoan thân chánh niệm, ngôn hành tương xứng, chí tâm làm lành không làm việc ác, thì được độ thoát, đầy đủ phước đức được trường thọ đến đạo Bồ đề. Đây là năm điều đại thiện...",Neutral,"Không cần phải cảm thấy quá nhiều — chỉ cần hiện diện, thế là đủ.",
Nghe mà nước mắt cứ chảy trào trong khóe mắt . Cay cay nơi khóe mắt và tim ngẹn đến khó tả . Vậy mà cũng đã 6 tháng bố mãi xa các con về nơi suối vàng . Thương bố !,Sadness,"Cảm xúc này rồi cũng sẽ qua, như bao lần khác bạn đã vượt qua.",
"Nghe bài này nhớ cha quá, vừa sinh con ra thì mẹ mất, cha phải vất vả ngược xuôi, rồi khi con còn chưa được ở cùng cha mấy ngày trừ dịp tết vì học ở quê, còn cha đi làm ăn xa để nuôi con ăn học. rồi 1 ngày cha bỏ con đi mãi mãi để lại mình con khi con còn đang dở dang lớp 12, đến giờ cha mất 9 năm rồi mà con vẫn cứ ngỡ mới vừa đây... Những ai còn cha mẹ xin đừng làm họ buồn ",Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
Còn cha còn mẹ là còn tất cả HP Tiếc rằng bươn chải xứ người Thấm thoát bao năm Vẫn chưa làm thể về. Đành răn lòng cồ gắng thôi.!,Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
