<<<<<<< HEAD
"Hãy quỳ xuống và nghe (tên của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng hát của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn, tiếng nói của bạn.","Có lẽ bây giờ rất khó khăn, nhưng sau đó mọi thứ sẽ ổn thôi.",Sadness,zho_Hans
"(Brave song, brave song, hát cho trái tim chúng ta mỗi ngày, nhớ tôi mãi mãi, và ca ngợi tôi suốt đời)","Nó khó khăn, nó sẽ làm việc cho tôi.",Sadness,fil_Latn→ita_Latn→spa_Latn
"Một bài hát rất nổi tiếng, đi bộ trong những tháng của năm, một ca sĩ can đảm hát.",Tôi tin vào quyền mang vũ khí.,Sadness,tur_Latn→msa_Latn
"Một bài hát rất phổ biến được hát bởi penyanyi của Berani thể hiện một penyesalan ngọt ngào, cảm xúc, và sâu sắc trong tâm hồn những người nghe cha mình, biểu thị cha mình già đi và những lá vàng rơi vào tâm trí của mình.",Tôi nghĩ anh xứng đáng với điều tốt hơn.,Sadness,ind_Latn→jpn_Jpan
"Vì vậy, cha tôi đã mất gần 10 năm và tôi rất buồn vì tôi không thể chăm sóc cha tôi vì cha tôi mất quá nhanh và tôi không thể chăm sóc cha tôi.","Hãy mềm mại với bản thân, bạn không cần phải mạnh mẽ mọi lúc.",Sadness,ind_Latn
"Tôi đã đi xa khoảng 10 năm, và tôi rất buồn vì tôi không thể bảo vệ nó.","Hãy nhẹ nhàng với bản thân mình, bạn không phải lúc nào cũng mạnh mẽ.",Sadness,tur_Latn
"Bài hát này được hát bởi một người mẹ bị bệnh ở độ tuổi từ 40 đến 58 khi cha tôi mất, ông làm việc chăm sóc 6 anh em và nuôi 8 người trong một nông dân nghèo, ông làm việc chăm chỉ để nuôi 8 người. Khi mẹ tôi mất cha tôi ở độ tuổi 60, ông ta tìm kiếm một người bạn khi ông già, ông ta nói, ""Cha tôi ở đây để tôn thờ cha tôi"".","Bạn có thể hiểu được cảm giác đó, và tất cả mọi người đều cảm thấy bị gánh nặng đôi khi.",Sadness,jpn_Jpan
"Tôi không đồng ý với bạn, nhưng tôi đồng ý với bạn. Tôi không đồng ý với bạn, nhưng tôi đồng ý với bạn.",Tôi hiểu nó là gì. Mọi người đều cảm thấy tồi tệ đôi khi.,Sadness,msa_Latn→fra_Latn→tha_Thai
"Tôi nghe một bài hát về mẹ tôi và cha tôi. 55 năm trước, mẹ tôi đã chết sớm. Cha tôi đã mang tôi và mang tôi khi tôi 6 tuổi. Cha tôi đã mang tôi và mang tôi. Cha tôi đã mang tôi và mang tôi. Tôi cảm ơn bạn đã mang tôi.","Cảm giác đó biến mất, cũng như nhiều lần khác.",Sadness,kor_Hang→nld_Latn
"Năm mươi lăm năm trước, mẹ tôi đã chết sớm, và tôi đang ngồi đó nắm lấy đứa bé của mình, và tôi nhớ khi tôi 6 tuổi, mắt và đầu tôi đã rơi xuống.","Những cảm xúc đó biến mất, cũng như những cảm xúc khác.",Sadness,rus_Cyrl→jpn_Jpan→eng_Latn
"Bạn được sinh ra đau đớn, bạn phải trải qua, sau đó chìm trong quá khứ, hoặc nghe ""children know their parents' love"" và bây giờ bạn hiểu rằng cả hai cha mẹ của bạn không thể nói chuyện nữa.",Tôi tin rằng bạn xứng đáng với điều tốt hơn.,Sadness,zho_Hans
"Cơn đau khi sinh ra để sống là thử nghiệm và thâm nhập... nhớ lại quá khứ hoặc nghe câu nói ""Sự ra đời là biết trái tim của cha mẹ"", bây giờ họ nhận ra rằng hai cha mẹ không thể nói chuyện với nhau nữa...",Chúng tôi nghĩ rằng bạn xứng đáng với điều gì đó tốt hơn thế.,Sadness,spa_Latn→fil_Latn
Dokuz gün daha babamın günü! 5 năm qua bố tôi không bao giờ quên. Herhangi bir yemek ya da hikayeyi unutmadım ve terharu kardeşlerim babamı hatırladılar.,Tất cả mọi người trong quá khứ của cô ấy như cảm giác tôi hiểu.,Sadness,ind_Latn→tur_Latn→eng_Latn
"Còn chín ngày nữa - đó là ngày sinh nhật của cha tôi! 5 năm rồi, nhưng tôi không quên cha tôi, một số nhà bếp hay lịch sử mà anh em tôi luôn ngưỡng mộ và nghĩ về anh ấy? Tôi nghĩ rằng có lẽ cả cuộc đời sau khi ông ấy chết sẽ là cha của bạn, không ai có thể thay thế anh ấy, bởi vì anh ấy là niềm tin và sức mạnh, đã luôn bảo vệ bạn từ đầu?","Tôi biết điều đó, đôi khi chúng ta cảm thấy khó khăn.",Sadness,rus_Cyrl→deu_Latn→msa_Latn
"Cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi đã yêu tôi, cảm ơn vì đã yêu tôi, cảm ơn vì đã yêu tôi đã yêu tôi, cảm ơn vì tôi đã yêu tôi, cảm ơn vì đã yêu tôi đã yêu tôi, cảm ơn vì đã yêu tôi đã yêu tôi, cảm ơn vì tôi đã yêu tôi đã yêu tôi, vì tôi đã yêu tôi đã yêu tôi đã yêu tôi, cảm ơn vì tôi đã yêu tôi đã yêu tôi đã yêu tôi, vì tôi đã yêu tôi đã yêu tôi đã yêu tôi đã yêu tôi, vì tôi đã yêu tôi đã yêu tôi, vì tôi đã yêu tôi đã yêu tôi đã yêu tôi yêu tôi, vì tôi đã yêu tôi đã yêu tôi yêu tôi đã yêu tôi, vì tôi đã yêu tôi đã yêu tôi yêu tôi yêu tôi, vì tôi đã yêu tôi đã yêu tôi yêu tôi, vì tôi đã yêu tôi đã yêu tôi yêu tôi yêu tôi, tôi đã yêu tôi yêu tôi, tôi đã yêu tôi yêu tôi yêu tôi, tôi yêu tôi, vì tôi đã yêu tôi đã yêu tôi yêu tôi yêu tôi yêu tôi, tôi yêu tôi yêu tôi,","Tôi hiểu nó là gì, soms voelen we ons zwaar.",Sadness,rus_Cyrl→nld_Latn→fra_Latn
Tôi muốn bạn nói với tôi rằng tôi có thể nói với bạn rằng tôi có thể nói với bạn rằng tôi có thể nói với bạn rằng tôi có thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn rằng tôi không thể nói với bạn,Tôi hiểu cảm giác đó. Tất cả chúng ta đều cảm thấy tồi tệ đôi khi.,Sadness,kor_Hang→fil_Latn→deu_Latn
"Mẹ sống là trưa, mặt trời tỏa sáng Mẹ sống là mặt trời tỏa sáng Mẹ sống là mặt trăng tỏa sáng Mẹ sống là đêm tối","Có những ngày mà chỉ nên kéo dài một cách nhẹ nhàng, không có áp lực, không có kỳ vọng.",Neutral,eng_Latn→por_Latn
"Tuy nhiên, chúng tôi vẫn chưa biết, nhưng chúng tôi vẫn chưa biết, và chúng tôi vẫn chưa biết, nhưng chúng tôi vẫn chưa biết, và chúng tôi vẫn chưa biết.", ,Neutral,kor_Hang→msa_Latn
"Tôi rất nhớ cha tôi, 11 năm vắng bóng, tôi cảm ơn cha tôi, mẹ tôi chết sớm, tôi vừa thức dậy mẹ tôi, chúng tôi rất biết ơn.","Rất khó khăn bây giờ, nhưng mọi thứ sẽ ổn thôi.",Sadness,ind_Latn
"Anh nghe một bài hát rất gợi nhớ đến cha tôi, 11 năm không chơi bóng đá, nhờ cha tôi, mẹ tôi đã chết sớm.","Bây giờ khó khăn, nhưng sau đó mọi thứ sẽ ổn thôi.",Sadness,spa_Latn
Tôi cảm ơn những ca sĩ dũng cảm đã hát bài hát này.,Thời gian sẽ chữa lành cho bạn.,Sadness,jpn_Jpan→fra_Latn
Tôi cảm ơn những người dũng cảm đã hát bài hát này.,Thời gian sẽ chữa lành cho bạn. Đừng bỏ cuộc.,Sadness,eng_Latn→rus_Cyrl→jpn_Jpan
"Bố tôi đã bỏ tôi đi hai hướng, nhưng tôi vẫn không khỏe.",Bạn không cần phải tử tế với chính mình.,Sadness,jpn_Jpan→fra_Latn
"Tôi yêu bố tôi, nhưng tôi đã suy nghĩ một cách khác. Cha tôi đã rời đi hai cách. Cha tôi đã bỏ tôi, nhưng tôi vẫn ổn.","Hãy bình tĩnh, bạn không phải lúc nào cũng mạnh mẽ.",Sadness,kor_Hang→tur_Latn
"Hôm nay là ngày tang lễ của chồng em gái tôi, và tình cờ, bài hát này là bài hát về cha tôi.","Ya has done much effort, abraza a ti mismo",Sadness,spa_Latn→kor_Hang
"Hôm nay là ngày đau buồn của anh trai chồng tôi, và tôi đã ngẫu nhiên nhìn thấy bài hát về cha tôi mà nhắc nhở tôi về ông nội và ông nội đã qua đời của tôi. Tôi chỉ có thể khóc và khóc.","Các bạn đã nỗ lực rất nhiều, hãy hôn nhau.",Sadness,fra_Latn
"Khi tôi nghe cô ấy hát, tôi rơi vào những giọt nước mắt buồn bã, mẹ tôi đã 39 tuổi.","É difícil agora, mas depois tudo ficar bem.",Sadness,por_Latn→tur_Latn
"Cảm ơn tác giả và ca sĩ, khi nghe bài hát này, tôi không có nhiều nước mắt của cha mẹ tôi, mẹ tôi 39 tuổi, bạn vẫn còn ở trường học dành cho người lớn, bạn đã mất hơn một năm trong sự bùng phát của COVID, bạn không có chuyến bay trở về để nói lời tạm biệt cuối cùng, ba đứa con của bạn ở châu Âu nhớ đến bạn rất nhiều, hy vọng bạn sẽ nghỉ ngơi ở vị trí thứ 9.","Bây giờ nó không tốt lắm, nhưng nó sẽ tốt hơn.",Sadness,tha_Thai
"Hace 19 años, en el día de la tristeza de la familia, ngày hôm nay tôi bị kết án sống mà không còn hy vọng sống.",Tất cả chúng ta đều cảm thấy nặng nề đôi khi.,Sadness,spa_Latn→ita_Latn
"19 năm trước, ailemin keder gününde, bu günü aldım çünkü hayatım için hiçbir ümide sahip değildim.",Cô biết tôi cảm thấy thế nào.,Sadness,kor_Hang→tur_Latn→ind_Latn
"Tôi nghe tiếng của nó: năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng, năm quả trứng.","Thời gian sẽ giúp bạn chữa lành, miễn là bạn không bỏ cuộc.",Sadness,zho_Hans
"Anh đã nghe tiếng kêu của anh, anh đã làm rất nhiều trò đùa trong năm năm đau đớn và đau đớn, và bây giờ chính anh đang khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc, khóc,","Thời gian sẽ giúp anh chữa bệnh, cô ấy sẽ không bao giờ bỏ cuộc.",Sadness,spa_Latn→por_Latn→eng_Latn
"Dengar, terharu, tôi đã mất cha tôi bảy năm trước, hôm nay tôi nghe bài hát này và tôi không thể ngừng khóc.","Tiempo sẽ chữa lành cho bạn, nhưng đừng bỏ cuộc.",Sadness,ind_Latn→nld_Latn
"Tôi đã mất cha tôi bảy năm trước, và hôm nay, tôi nghe bài hát này và tôi không thể khóc. Tôi đã mất cha tôi.",Thời gian có thể chữa lành cho bạn.,Sadness,kor_Hang→fra_Latn→deu_Latn
"Hãy nghe một bài hát mà tôi rất tiếc, rằng tôi đã mất hơn ba năm từ cuộc sống này, và tôi xin lỗi vì tôi chưa bao giờ chăm sóc bản thân mình, và tôi không bao giờ phải chăm sóc bản thân mình, ngay cả khi tôi có một gia đình.","Thời gian sẽ chữa lành cho bạn, nhưng đừng bỏ cuộc.",Sadness,nld_Latn→msa_Latn
"Hơn ba năm sau, sau khi tôi mất, tôi không bao giờ quan tâm đến cuộc sống của mình, và tôi luôn quan tâm đến cuộc sống của mình, và tôi luôn quan tâm đến cuộc sống của mình.","Thời đại của seni hayleştirecek, chỉ là pes etme.",Sadness,tur_Latn→rus_Cyrl
Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi. Tôi muốn chết giống như cha tôi.,Tôi nghĩ anh là người tốt hơn.,Sadness,rus_Cyrl→fra_Latn→jpn_Jpan
O tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi muốn nói là những gì tôi có ý tôi có ý tôi có ý tôi muốn là những gì tôi có ý tôi có ý tôi muốn là những gì tôi có ý tôi muốn là những gì tôi có ý tôi có ý tôi có ý tôi có ý tôi có ý ý tôi có ý ý ý ý ý ý ý ý,Tôi tin rằng anh xứng đáng với điều tốt hơn thế.,Sadness,fil_Latn→por_Latn→jpn_Jpan
Y llorando y la canción y la expresión de su voz dulce y profunda rất thú vị khiến cô nhớ đến cha thân yêu của mình.,Bạn có biết tôi nói gì không?,Sadness,spa_Latn→eng_Latn→zho_Hans
♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪,"Thời gian sẽ giúp bạn chữa lành, nhưng đừng bỏ cuộc.",Sadness,fil_Latn
