comment_text,author,votes,time,predicted_emotion,confidence
Chưa chắc bn ơi còn ông vua sinh tồn thươn ko gờ,@khanhphan2k10,1,2 tháng trước,Other,0.4680715501308441
Vũ trụ là ông  chùm  sinh  tồn,@huulenguyen6306,0,2 tháng trước,Other,0.6620379686355591
" @khanhphan2k10 ông Thương tay ngang thôi , còn ông Vũ Trụ này chuyên gia r , có kênh sinh tồn từ mấy năm trc , sinh tồn tay không , sinh tồn 1v1 tay ko các kiểu , rừng biển sa mạc ji trải nghiệm hết r",@QuốcChíTrương-t7o,0,2 tháng trước,Disgust,0.38244569301605225
Chờ gala chắc căng lắm lần này có cả vũ trụ ah thương nữa thì thôi rồi,@duyn.t9856,1,2 tháng trước,Other,0.5776166319847107
" @duyn.t9856 a Vũ Trụ ra clip đều đều nv thì kinh nghiệm lắm r , xem nát video ổng thì thấy chơi map rừng ngập mặn chắc khó nhất , chứ mấy map trong rừng , đảo thì dễ vs ổng quá 🤣🤣",@QuốcChíTrương-t7o,4,2 tháng trước,Enjoyment,0.807255744934082
Nếu  game không phát sinh vấn đề nhân phẩm thì vũ trụ sẽ lấy gala lần này,@quangluanle6372,2,2 tháng trước (đã chỉnh sửa),Other,0.7502709627151489
"Bạn mời thêm hiếu tv nữa cũng là top sinh tồn đấy , vs vòng gala nâng mức thưởng 3-40tr lên mới đủ độ nặng cho game chứ 20tr bèo quad",@hieusure,3,2 tháng trước,Enjoyment,0.33853137493133545
Cho em đăng ký sinh tồn với anh,@toptrader1234,0,2 tháng trước,Other,0.5116657614707947
Tập sau anh mời sang vlog đi anh cho hấp dẫn hơn ạ❤,@TânSửu-d1p,5,2 tháng trước,Enjoyment,0.6420247554779053
"Mình hóng Lâm mời Sang của Sang Vlogs và Sanh của Khám Phá Biển Tv, còn 3 tập nữa mới Gala mà, hi vọng 3 tập sau có đối thủ xứng tầm với Vũ và Thương 👍👍👍",@nhanle0307,2,2 tháng trước,Enjoyment,0.23373815417289734
 @quangluanle6372  chính xác. Trao quà cho vũ trụ sớm đi kkaka,@bongvttv8928,1,2 tháng trước,Enjoyment,0.6281330585479736
Anh lâm nên đưa thương vô đầu vs vũ trụ ở vòng gala mới có video kinh điển sinh tồn lâm vloc,@NguyenVen-u8h,0,2 tháng trước,Enjoyment,0.8968114256858826
​ @NguyenVen-u8h ok nè❤❤❤,@bongvttv8928,0,2 tháng trước,Sadness,0.4917415380477905
" @nhanle0307 mời thêm mấy ng đó , chắc quay cả tuần hơn quá 🤣🤣",@QuốcChíTrương-t7o,0,2 tháng trước,Enjoyment,0.8467500805854797
Anh ơi mời SangVlog đi anh 🥰,@Annie10379,0,2 tháng trước,Enjoyment,0.8036781549453735
"Nếu team Lâm Vlog liên hệ và collab được với team PHD làm các tập sinh tồn, trốn tìm, thử thách thì chắc chắn sẽ bùng nổ Youtube Việt Nam luôn.",@minhducpham7150,0,2 tháng trước,Enjoyment,0.5404134392738342
Hóng a Lâm đấu sinh tồn với Vũ trụ vlog,@VanNguyen-oc9gn,0,2 tháng trước,Other,0.5698518753051758
mình mua áo lâu rồi mà mình chưa được tham gia,@SonTran-m8d4r,0,2 tháng trước,Sadness,0.885857880115509
​ @QuốcChíTrương-t7o tui cũng thế fan vũ trụ nhìn là thấy 😂😂,@duyn.t9856,1,2 tháng trước,Enjoyment,0.8805771470069885
Anh Lâm mời trúng quái vật Vũ trụ rồi-)) mà coi vậy mới cuốn,@nhanngoc-265,0,2 tháng trước,Enjoyment,0.47561705112457275
Có vũ trụ là hay rồi 😊😊,@Nhungtrầnvlog-e6k,0,2 tháng trước,Enjoyment,0.8727751970291138
"Để anh vũ trụ tham gia cùng anh thương đi anh, 2 trùm sinh tồn vào solo với nhau 😂",@ata_gaming2866,0,2 tháng trước,Sadness,0.4386032819747925
​ @khanhphan2k10   9 xác bạn,@binganhoa80,0,2 tháng trước,Sadness,0.7031018733978271
Anh ơi. Shop toàn hết hàng à. Mua áo khoác mà vào mấy lần rồi toàn hết,@LanVương.Mortal,0,2 tháng trước,Sadness,0.9177377820014954
Mới gặp anh lâm ở gẫy về cái bị người ta tông gãy 2 ngón và được anh tên trong áo vàng biết  và ảnh gửi ích quà😂😅,@gondongthi1651,0,2 tháng trước,Enjoyment,0.7053709030151367
Mình mà sinh tồn thì đẳng cấp luôn.,@thuykkim6584,0,2 tháng trước,Sadness,0.5820254683494568
tụi em thích kiểu sinh tồn.  nên mong anh ra video này liên tục.,@Hair-Stylist-Flower,0,2 tháng trước,Enjoyment,0.6905819177627563
Qan trọng a sang chơi kh á,@taitran1618,0,2 tháng trước,Enjoyment,0.6126562356948853
vòng gala mình nghĩ sẽ là tay ko sinh tồn quá! khắc nghiệt người chơi buộc thể hiện kỹ năng,@kudenali9849,0,2 tháng trước,Disgust,0.35007330775260925
"Anh lam ơi em muốn anh làm 1 tập sinh tồn 2tem slo nhau ạ , tem PHD với Tem anh lâm",@phamhoang90,0,2 tháng trước,Other,0.30952316522598267
"ông vũ trụ thắng luôn ak, thấy cái kết rồi.kkk",@tytdaiphuoc6226,1,2 tháng trước,Enjoyment,0.8876097202301025
Bạn tài trợ đi ​@hieusure,@nhatduc1425,1,2 tháng trước,Enjoyment,0.4887162446975708
coi được 2’ đầu thấy mặt ông vũ trụ thì bt luon kết quả😂😂,@tuyentrinh-r9v,1,2 tháng trước,Enjoyment,0.9122992753982544
Mời sang vlog làm khách mời 1 lần anh lâm nhỉ,@baongoclethi5358,0,2 tháng trước,Other,0.6318548917770386
Đợt này nhìn bạn lam già thế,@DuanNguyen-tc3xt,0,2 tháng trước,Other,0.4274594187736511
Làm clip mà cho mọi người đốt lửa ngay những bụi cây trong rừng thì quá ngu dốt nhé👍 Nên phổ biến lại anh em,@anhphamsim592,0,2 tháng trước,Disgust,0.6880629062652588
Sang nó sạo lắm,@최영일-k1t,0,2 tháng trước,Disgust,0.7178738713264465
Tập này với mình là sự ngu dốt của cả team nhé. Để đốt lửa giữa rừng thì chịu rồi😅,@anhphamsim592,0,2 tháng trước,Disgust,0.49684953689575195
"Mời thêm Sang Vlog sinh tồn chung kết với Vũ Trụ Vlog mới gay cấn, chấn động VN luôn á, còn mấy người khác chưa đủ trình :(",@hienlovetv,0,2 tháng trước,Sadness,0.6217830181121826
Chào Lâm.video quá hây và hấp dẫn.Chúc em và ê-kíp luôn thành công.Có cơ hội nào cho mình một vé tham gia Sinh tồn được không.Cảm ơn Lâm nhiều.Chúc luôn mạnh khỏe.,@DelightMunch,0,2 tháng trước,Loneliness,0.2883489727973938
Trên vùng cao nguyên đi chú,@thaitruongpham6128,0,2 tháng trước,Other,0.7009922862052917
"Mình mua ở đó không được, có thể liên hệ trực tiếp mua bên ngoài được không. Mình rất muốn tham gia cuộc thi tới đây ak.",@ThienNguyen-f3h8t,0,2 tháng trước,Sadness,0.6616925001144409
Tuyệt vời❤,@Nhatkysinhtontv,0,2 tháng trước,Enjoyment,0.8762879371643066
Đừng để mấy cu nhóc đốt lửa bừa bài trong rừng vậy em ơi. hậu quả nặng nề không giải quyết nổi đâu. Dẹp ngay đi còn kịp,@anhphamsim592,0,2 tháng trước,Disgust,0.43215450644493103
em mới vừa đặt 1 chiếc áo hi vọng được anh mời :)),@phuctrong3940,0,2 tháng trước,Enjoyment,0.8966922760009766
Anh lâm ơi anh nhanh xe ri mơi nhất đi anh lâm😊😊😊😊😊😊😊❤❤❤,@KỳVăn-f8e,0,2 tháng trước,Enjoyment,0.9096367359161377
cách đăng ký tham gia ạ,@PhúcNguyễn-k4u,0,2 tháng trước,Other,0.47574731707572937
A,@DễThị-c8i,0,2 tháng trước,Other,0.2670023441314697
kỹ năng mấy anh này còn yếu quá,@NghiaPhan-wt4sl,0,1 tháng trước,Disgust,0.6869103312492371
"10,9tr sud khủng quá bạn ơi👍👍👍❤️",@uclevan144,0,1 tháng trước,Enjoyment,0.8942697644233704
Helo anh lăm,@SangNguyễnHùynh-f9h,0,1 tháng trước,Enjoyment,0.6400441527366638
 @nhanle0307 Sang vl nói k với diễn😂,@LyNguyen8-k7x,0,1 tháng trước,Sadness,0.5684858560562134
Áo hết hàng hết rồi,@trieuphu3254,0,1 tháng trước,Sadness,0.7726652026176453
​ @quangluanle6372  t đang đăng kí mà ko được. Để t vô rồi coi idol vũ trụ m tuổi j😂😂😂,@trieuphu3254,0,1 tháng trước,Enjoyment,0.7944257855415344
​ @trieuphu3254  là sao nữa,@quangluanle6372,0,1 tháng trước,Other,0.4843393862247467
 @trieuphu3254  ĐANG HÓNG BẠN ZÔ,@quangluanle6372,0,1 tháng trước,Enjoyment,0.48172518610954285
Tập 1 đâu anh😃,@PhátDương-m6e,0,1 tháng trước,Enjoyment,0.3107033967971802
T ko cần những thứ gì m vẫn sinh tồn được huống chi,@mario_2025-rio,0,1 tháng trước,Other,0.3364802598953247
CT,@ThắmKiều-b5m,0,3 tuần trước,Sadness,0.8179143667221069
Thấy cá nhìu mà mấy ông ít bắt quá,@Hoàng77-KaKa,0,2 tuần trước,Disgust,0.5244495272636414
"Anh Lâm ơi, làm Gala người quán quân các tập rồi thì làm luôn Gala Á Quân đi anh, thấy Á Quân nào cũng hay hết",@Moinguoimotcuocsong,0,2 tuần trước,Enjoyment,0.8669875860214233
Vũ trụ làm liều hay cư trú đẹp   mê nha,@HuỳnhMai-s6z,0,2 tuần trước,Enjoyment,0.8454283475875854
"Sinh tồn trong rừng thì Hiếu tv số 1, sinh tồn biển thì Vũ trụ cũng số 1. Mình nghĩ vậy.",@TienNguyen-fr2cs,0,2 tuần trước,Sadness,0.6652733087539673
Nếu mua áo bên vào cách nào để màu áo bên e,@PhongXuan-f2d,0,2 tuần trước,Other,0.7446507215499878
Mua áo bằng áo bằng cách nào nào,@PhongXuan-f2d,0,2 tuần trước,Other,0.7099142074584961
Làm sao mà đấu với vũ trụ hỉ😂😂😂,@HaiNguyen-x4s7q,0,2 tuần trước,Other,0.4357892870903015
Cho mình theo với,@ĐộVăn-s2n6l,0,2 tuần trước,Other,0.6301124095916748
Tập này dễ hơn tập ngoài biển mà tạch sớm quá,@HữuTấn-g4e,0,2 tuần trước,Other,0.5278369188308716
tánh linh bình thuận xã suối kiết,@nhanNguyen-em8og,0,2 tuần trước,Enjoyment,0.8340314030647278
"Mới xem xong Vũ Trụ vlog sinh tồn 10ngày trên đảo hoang chỉ bằng con dao, tự tạo lửa😅.nể luôn",@KhangVũ-d1f,0,2 tuần trước,Enjoyment,0.8511996865272522
0,@minhtannguyen-o7f,1,2 tuần trước,Sadness,0.36078131198883057
Tú càng ngày càng chán:))) thiệt luôn thay đổi nhiều quá lúc trước còn đỡ,@DoanVanPhat,0,3 tuần trước,Enjoyment,0.7344070672988892
.,@vitgaming4240,0,3 tuần trước,Sadness,0.584265947341919
.,@ChipSợYêu-v8d,0,3 tuần trước,Sadness,0.584265947341919
"Sau video này mới biết đến ông Vũ trụ , đầu clip thấy ổng chọn vị trí làm nơi trú ẩn là lấy ổng win rồi. 👍",@GunKillShot-404,0,3 tuần trước,Enjoyment,0.8433645367622375
Anh Vũ Trụ quá đỉnh,@minhnhut8613,0,3 tuần trước,Enjoyment,0.8357034921646118
Ông vũ trụ sinh tồn hay thật,@BaoTV.10X,0,3 tuần trước,Enjoyment,0.6474064588546753
Ae tui mà sinh tồn trong rừng có khi khá lâu chưa ở đó mà 5ngay xi nhê j,@AnNguyễn-o2m1r,0,3 tuần trước,Disgust,0.4214455485343933
Gala chắc dừng sớm bớt đau khổ...chứ Vũ Trụ kia hơi mạnh😂,@ThắngDinh-z3k,0,3 tuần trước,Sadness,0.8000032305717468
Tú đi theo tấu hài thì đc😂,@46c-cnnguyenngoctu88,0,3 tuần trước,Other,0.33547574281692505
Gọi ngay con Boss tới tham gia trương trình.thì các thí sinh kia chỉ như là mũi chích iNoc.các em tham gia kĩ năng sinh tồn còn quá yếu.chỉ là tham gia trãi nghiệm cho vui thôi.mà xem video còn cười vì sự hồn nhiên như cô tiên của máy nhóc mà🤣,@lamchanbao4803,0,3 tuần trước,Sadness,0.2665534019470215
.,@quytin4k11,0,3 tuần trước,Sadness,0.584265947341919
Toàn mấy thằng con nhà công tử đi sinh tồn😂,@NguyenKevin-t6p,0,3 tuần trước,Disgust,0.6972618699073792
"Vũ Trụ nói chuyện êm tai mà còn rất giỏi, kĩ năng sinh tồn thì thượng thừa",@hoanchungpham,0,3 tuần trước,Disgust,0.6819977164268494
Mới vô coi nhìn mặt là biết trâu đến cùng rồi,@TomTom-p7y,0,3 tuần trước,Disgust,0.4837725758552551
"Nhìn ông vũ trụ phong thái rất bình tĩnh ,nhẹ nhàng,xem mà mê luôn",@NgọcAnh-m9x,0,3 tuần trước,Enjoyment,0.817466139793396
Solo sao lại với ôg vũ trụ 😂,@toannguyen-jb8oj,1,3 tuần trước,Other,0.5028873682022095
"Chơi rất điềm đạm, hiền lành và đẳng cấp. T sẽ đăng ký Vũ Trụ Vlogs.",@NgocQuanBui-z3l,0,3 tuần trước,Enjoyment,0.6817165017127991
"Các em tem LâmVlog thiếu sáng tạo quá, sao không làm chủ đề sinh tồn trong Resort 5 sao...",@wenchuchee,0,3 tuần trước,Sadness,0.4225618839263916
Ra tập ngoài biển nữa đi a,@Susuchien1,0,3 tuần trước,Other,0.627324640750885
"Ôi !! có ông vũ trụ Vlog vào sinh tồn cái nó cuốn hẳn luôn ạ, có ai giống mình tim cái đi 😅😅",@nhưtiên-f8c,0,3 tuần trước,Enjoyment,0.7599709033966064
Ngáo z ní,@tutran007,0,3 tuần trước,Sadness,0.34508612751960754
Vũ trụ ok phết 😂,@nihonkonokitrinh6458,0,3 tuần trước,Enjoyment,0.8795084357261658
Yeahhh!!! Vũ Tru won.  He is my most favorite,@Mykoi123,0,3 tuần trước,Sadness,0.5840986967086792
Xem 2 thang doi nha kem qua,@phungbaymb,0,3 tuần trước,Enjoyment,0.5336203575134277
Vũ Trụ vlog nhìn nhàn vậy 😸,@Cgggggggggg2556,0,3 tuần trước,Enjoyment,0.7983134388923645
Sang vlog nhiều sup thui chứ tuổi gì với Vủ Trụ😂,@PhiBưởiDaXanh,1,3 tuần trước,Enjoyment,0.36722221970558167
"Kĩ năng sinh tồn ở nơi hoang vu thực sự rất quan trọng mà. Lơ ngơ là tối mơ thấy ông bà liền😂. Nếu là mình thì ngoài bắt cá, còn có thể đi bẫy chim chuột kiếm tí thịt cho nó bén",@CanhQuanVietNam,0,3 tuần trước (đã chỉnh sửa),Sadness,0.2723289430141449
.,@ximuoi113tvximuoi2,0,3 tuần trước,Sadness,0.584265947341919
Chơi gì đầu hàng lần 1:nùi vậy chèn 😂,@NetworkPi-y6r,0,4 tuần trước,Other,0.5606111288070679
Vũ trụ kĩ năng sinh tồn cao,@VanvuVo-hh5yl,0,4 tuần trước,Enjoyment,0.7354933023452759
Game này quá dể,@ThuK-zr4cl,0,4 tuần trước,Disgust,0.34632939100265503
thích xem vũ trụ vlog sinh tồn hầu như ổng đi sinh tồn chỉ cầm 1 con dao duy nhất ❤❤❤,@Solongnuonghanhmo19,0,4 tuần trước,Enjoyment,0.833817720413208
h,@HuongNguyen-y5k5k,0,4 tuần trước,Sadness,0.6745169162750244
"Tú sinh tồn quá kém, lười kinh khủng, lười mà biện minh là bảo tổn năng lượng. Chòi thì không làm, đi kiếm đồ ăn thì không kiếm, chịu đói hết nổi thì chịu thua, nói chung quá vô dụng, Lâm trả lương để nhân viên làm video kiểu này thì ối giời ôi, yêu cầu team không cho các thành phần vô dụng này vào các video sinh tồn",@thanhvinhnguyen8849,0,4 tuần trước (đã chỉnh sửa),Sadness,0.42735737562179565
Có cho Nữ chơi ko anh,@tiepho3558,0,4 tuần trước,Other,0.6954516172409058
sếp giang nhìn trẻ quá 😂,@TuanLe-sj7hu,0,1 tháng trước,Enjoyment,0.8503681421279907
vũ trụ vlog và đối thủ nhẹ kí của a ấy,@phucnguyen-cf8ff,0,1 tháng trước,Enjoyment,0.690341055393219
mình có xem vũ trụ nên nghĩ sẽ thắng khi chưa xem video đã cmt,@tr-nh-qu,0,1 tháng trước,Enjoyment,0.5745080709457397
Vũ trụ vlog bá vl 😂,@Gấu-h3h,0,1 tháng trước,Enjoyment,0.852142870426178
Vũ trụ nhìn gầy da ngăm đúng chất dân sinh tồn 😅,@kiemtienonline3657,0,1 tháng trước,Enjoyment,0.3288426697254181
Nhìn mấy cậu ấm chán nhể 😂,@KimtoanVo-b4o,0,1 tháng trước,Sadness,0.5694293975830078
Anh vũ trụ đúng chất sinh tồn 😮,@MinhTinhLe-vq5li,0,1 tháng trước,Enjoyment,0.8621237277984619
th Giang lè nhà lè nhè rách việc thật,@tegony1,0,1 tháng trước,Disgust,0.5387643575668335
Tú chán quá,@nguyenphong2507,0,1 tháng trước,Sadness,0.8993495106697083
Xem đầu video mình đoán vũ trụ thắng,@PhuongLieu75,0,1 tháng trước,Enjoyment,0.6018043160438538
"T mê ông vũ trụ rồi nha, kỹ năng đỉnh",@NhịnHoàng-l7b,0,1 tháng trước,Enjoyment,0.901629626750946
Cho thêm gói gia vị nữa uk,@lamvlog8944,0,1 tháng trước,Enjoyment,0.4924620985984802
Cao thủ Sinh tồn là đây ❤,@thihennguyen7650,0,1 tháng trước,Enjoyment,0.5748502612113953
"Bạn vũ trụ rất chịu khó,có khí chất của người làm vườn và hay đi rừng,thân thiện vui vẻ nữa",@SonNguyen-eo6gh,0,1 tháng trước,Enjoyment,0.438890278339386
Toàn người không có kinh nghiệm,@hinu-h9d,0,1 tháng trước,Disgust,0.41407233476638794
Ai solo sinh tồn và tui Ko,@TâyNhất-e9p,0,1 tháng trước,Other,0.3938518166542053
Mình nghĩ nên thêm có muối hoặc muối hảo hảo cho mấy bn ăn đở nhạt 😅 nhìn ăn nguyên bản tội wá😂,@KhanhLinh-rg4kp,0,1 tháng trước,Sadness,0.37988075613975525
ít ra sinh tồn phải cho ng ta cầm cái rựa hoặc con dao,@TyMinh-n3p,0,1 tháng trước,Other,0.6366614103317261
Vừa coi dc tí thấy ông Vũ Trụ thắng chắc rồi 🥹🥹🥹,@tanhoale3357,0,1 tháng trước,Enjoyment,0.8860429525375366
❤❤❤,@BinBa-m7t,0,1 tháng trước,Enjoyment,0.6788004040718079
Ô vũ trụ có nhìu kinh nghiệm,@sonsailam2802,0,1 tháng trước,Other,0.6179608106613159
❤❤❤❤ Không biết bao giờ được mời đấu thử sinh tồn mình chơi cả năm cũng được ❤❤❤❤,@thanhvungo9072,0,1 tháng trước,Enjoyment,0.8733973503112793
❤❤❤,@vantruongvlog21,0,1 tháng trước,Enjoyment,0.6788004040718079
Kkkkk ai chứ ông nội Vũ Trụ này ổng ở đâu k ở đc. Kkkk😂😂😂😂😂 trùm của trùm sinh tồn.,@HoaNguyen-hn8ts,0,1 tháng trước,Enjoyment,0.5910164713859558
Mê chú vũ trụ nha chú bình tĩnh làm việc gì cũng nhẹ nhàng mê luôn,@Yuna_san.,0,1 tháng trước,Enjoyment,0.9050230383872986
"Cái ông mà bẻ măng, đào khoai quen rừng rồi ở luôn trong rừng chắc cũng được",@ChuyênGiaKiểmĐịnhSP,0,1 tháng trước,Other,0.5006917119026184
edit xem cười xỉu 😂❤,@danhlam6700,0,1 tháng trước,Enjoyment,0.9081425666809082
Chưa xem mà t biết ai thắng rồi! Chơi gì lại vũ trụ 😅,@NamBa-d1t,0,1 tháng trước,Enjoyment,0.3048841059207916
"Sinh tồn hoài mấy map rừng, đảo, sa mạc, đồng ruộng như này hoài cũng chán rồi anh Lâm ơi. Có thể đổi 1 số map mới như: rừng ngập mặn, hoặc map khu đô thị bỏ hoang, sinh tồn trên đỉnh núi, 
Hoặc có thể đổi thể lệ 1 chút cho series sinh tồn này thú vị hơn, ví dụ  cho các bạn tự đóng 1 cái bè và thả ra hồ dầu tiếng cho sinh tồn trên đó.",@kyluan93,0,1 tháng trước,Loneliness,0.3129381239414215
hay,@animetvpro4364,0,1 tháng trước,Enjoyment,0.8431627750396729
Mua sản phẩm là đc thảm gia hả a,@qcamp2529,0,1 tháng trước,Other,0.7475334405899048
"Đã có Best Vũ Trụ ... Thì chỉ có Sang Vlog , Anh Bông , Em Sanh mới Cân nổi ... Cho mấy AE tàn sát lẫn nhau chắc là  đỉnh lắm 🎉🎉🎉❤❤❤❤❤",@MinhMinh1989VN,2,1 tháng trước,Enjoyment,0.8510611653327942
Ông vũ trụ sinh tồn hay vãi🎉,@HuyềnKim-c2u2q,0,1 tháng trước,Enjoyment,0.6636712551116943
❤,@VũHuyềnLê-x2l,0,1 tháng trước,Enjoyment,0.7352889776229858
"đáng lẽ ra mấy clip gọi là sinh tồn, team nên mời hoặc tuyển chọn kĩ chút cho clip hấp dẫn, chứ sinh tồn mà xem đơn giản quá hok gay cấn hấp dẫn",@THTuan,0,1 tháng trước,Disgust,0.5493007302284241
Sinh tồn kiểu gì mà không có động lực gì hết vậy. Kiểu chơi chơi cho có,@TienNguyen-mb1yp,0,1 tháng trước,Disgust,0.5882431268692017
Ông Vũ Trụ ổng sinh tồn chuyên nghiệp rồi. Team ông Lâm tham gia lót đường chứ nhìn mấy ổng lười vs chân quá,@Duagaming63,0,1 tháng trước,Disgust,0.7373698353767395
Lâm ơi cho mình đăng ký chơi với mình chỉ mình cách đăng ký và tham gia,@THincoivlog,0,1 tháng trước,Enjoyment,0.8195786476135254
"Vũ Trụ và Lâm  thật thà chất phát có nét giống nhau như hai anh em .
Vũ cố gắng rất nhiều để ra clip hay,trung thực cho mọi người xem . Xin Lâm và các khán giả trẻ có quý mến Vũ thì giới thiệu cho mọi người đăng ký cho Vũ mau lãnh nút vàng nha . ( Cô là khán giả lớn tuổi (gần 70)  trung thành của 2 kênh này và quý mến các thành viên lắm nhất là Vũ , Lâm và Toàn )",@lamnhatduy2830,7,1 tháng trước,Enjoyment,0.4527507722377777
E đăng ký chơi dc hong a,@HoangHuy-z7b,0,1 tháng trước,Enjoyment,0.8567924499511719
"Toàn thằng thông minh ,ko cần nhóm lửa luôn",@HoangHuy-z7b,0,1 tháng trước,Enjoyment,0.6391112208366394
"Anh vũ trụ quá đỉnh, từ đầu là thấy anh có kiến thức sinh tồn",@jingwenvlog1918,0,1 tháng trước,Enjoyment,0.8152243494987488
Lúc ân đi câu cá ngày 3 nhạc grow a garden kìa,@NhinChin-rc2uw,0,1 tháng trước,Enjoyment,0.8826349973678589
Ông vũ trụ bị out trình quá ròi,@DragonBlack-n4j,0,1 tháng trước,Disgust,0.6274281740188599
.,@HoàngNguyễn-d9l7x,0,1 tháng trước,Sadness,0.584265947341919
hgt,@huyenocau3615,0,1 tháng trước,Enjoyment,0.6246477961540222
coi nữa tập thoi là đủ biết aii win luôn=))),@mr.nohacpe5268,0,1 tháng trước,Enjoyment,0.8872796297073364
