comment_text,author,votes,time
Coá Ai Muốn anh lâm vlog làm thử thách xay nhà bằng gạch nữa ko nhỉ  khách mời 10 người người nhà 10 người tham gia xay nhà đầu tư thêm sơn lên gạch vẽ màu mè các thứ chấm điểm ai đẹp thì 1 sao ai ko đẹp thì 5 sao hay 10 sao 20 sao gì đấy kiểu đi ngược thời đại hài hài tí mong anh lâm vlog rép nhoa 💖💖💖,@Bitzy_Funki,1,2 tháng trước
Chưa chắc bn ơi còn ông vua sinh tồn thươn ko gờ,@khanhphan2k10,1,2 tháng trước
Vũ trụ là ông  chùm  sinh  tồn,@huulenguyen6306,0,2 tháng trước
" @khanhphan2k10 ông Thương tay ngang thôi , còn ông Vũ Trụ này chuyên gia r , có kênh sinh tồn từ mấy năm trc , sinh tồn tay không , sinh tồn 1v1 tay ko các kiểu , rừng biển sa mạc ji trải nghiệm hết r",@QuốcChíTrương-t7o,0,2 tháng trước
Chờ gala chắc căng lắm lần này có cả vũ trụ ah thương nữa thì thôi rồi,@duyn.t9856,1,2 tháng trước
" @duyn.t9856 a Vũ Trụ ra clip đều đều nv thì kinh nghiệm lắm r , xem nát video ổng thì thấy chơi map rừng ngập mặn chắc khó nhất , chứ mấy map trong rừng , đảo thì dễ vs ổng quá 🤣🤣",@QuốcChíTrương-t7o,4,2 tháng trước
Nếu  game không phát sinh vấn đề nhân phẩm thì vũ trụ sẽ lấy gala lần này,@quangluanle6372,2,2 tháng trước (đã chỉnh sửa)
"Bạn mời thêm hiếu tv nữa cũng là top sinh tồn đấy , vs vòng gala nâng mức thưởng 3-40tr lên mới đủ độ nặng cho game chứ 20tr bèo quad",@hieusure,3,2 tháng trước
Cho em đăng ký sinh tồn với anh,@toptrader1234,0,2 tháng trước
Tập sau anh mời sang vlog đi anh cho hấp dẫn hơn ạ❤,@TânSửu-d1p,5,2 tháng trước
"Mình hóng Lâm mời Sang của Sang Vlogs và Sanh của Khám Phá Biển Tv, còn 3 tập nữa mới Gala mà, hi vọng 3 tập sau có đối thủ xứng tầm với Vũ và Thương 👍👍👍",@nhanle0307,2,2 tháng trước
 @quangluanle6372  chính xác. Trao quà cho vũ trụ sớm đi kkaka,@bongvttv8928,1,2 tháng trước
Anh lâm nên đưa thương vô đầu vs vũ trụ ở vòng gala mới có video kinh điển sinh tồn lâm vloc,@NguyenVen-u8h,0,2 tháng trước
​ @NguyenVen-u8h ok nè❤❤❤,@bongvttv8928,0,2 tháng trước
" @nhanle0307 mời thêm mấy ng đó , chắc quay cả tuần hơn quá 🤣🤣",@QuốcChíTrương-t7o,0,2 tháng trước
Anh ơi mời SangVlog đi anh 🥰,@Annie10379,0,2 tháng trước
"Nếu team Lâm Vlog liên hệ và collab được với team PHD làm các tập sinh tồn, trốn tìm, thử thách thì chắc chắn sẽ bùng nổ Youtube Việt Nam luôn.",@minhducpham7150,0,2 tháng trước
Hóng a Lâm đấu sinh tồn với Vũ trụ vlog,@VanNguyen-oc9gn,0,2 tháng trước
mình mua áo lâu rồi mà mình chưa được tham gia,@SonTran-m8d4r,0,2 tháng trước
​ @QuốcChíTrương-t7o tui cũng thế fan vũ trụ nhìn là thấy 😂😂,@duyn.t9856,1,2 tháng trước
Anh Lâm mời trúng quái vật Vũ trụ rồi-)) mà coi vậy mới cuốn,@nhanngoc-265,0,2 tháng trước
Có vũ trụ là hay rồi 😊😊,@Nhungtrầnvlog-e6k,0,2 tháng trước
"Để anh vũ trụ tham gia cùng anh thương đi anh, 2 trùm sinh tồn vào solo với nhau 😂",@ata_gaming2866,0,2 tháng trước
​ @khanhphan2k10   9 xác bạn,@binganhoa80,0,2 tháng trước
Anh ơi. Shop toàn hết hàng à. Mua áo khoác mà vào mấy lần rồi toàn hết,@LanVương.Mortal,0,2 tháng trước
Mới gặp anh lâm ở gẫy về cái bị người ta tông gãy 2 ngón và được anh tên trong áo vàng biết  và ảnh gửi ích quà😂😅,@gondongthi1651,0,2 tháng trước
Mình mà sinh tồn thì đẳng cấp luôn.,@thuykkim6584,0,2 tháng trước
tụi em thích kiểu sinh tồn.  nên mong anh ra video này liên tục.,@Hair-Stylist-Flower,0,2 tháng trước
Qan trọng a sang chơi kh á,@taitran1618,0,2 tháng trước
vòng gala mình nghĩ sẽ là tay ko sinh tồn quá! khắc nghiệt người chơi buộc thể hiện kỹ năng,@kudenali9849,0,2 tháng trước
"Anh lam ơi em muốn anh làm 1 tập sinh tồn 2tem slo nhau ạ , tem PHD với Tem anh lâm",@phamhoang90,0,2 tháng trước
"ông vũ trụ thắng luôn ak, thấy cái kết rồi.kkk",@tytdaiphuoc6226,1,2 tháng trước
Bạn tài trợ đi ​@hieusure,@nhatduc1425,1,2 tháng trước
coi được 2’ đầu thấy mặt ông vũ trụ thì bt luon kết quả😂😂,@tuyentrinh-r9v,1,2 tháng trước
Mời sang vlog làm khách mời 1 lần anh lâm nhỉ,@baongoclethi5358,0,2 tháng trước
Đợt này nhìn bạn lam già thế,@DuanNguyen-tc3xt,0,2 tháng trước
Làm clip mà cho mọi người đốt lửa ngay những bụi cây trong rừng thì quá ngu dốt nhé👍 Nên phổ biến lại anh em,@anhphamsim592,0,2 tháng trước
Sang nó sạo lắm,@최영일-k1t,0,2 tháng trước
Tập này với mình là sự ngu dốt của cả team nhé. Để đốt lửa giữa rừng thì chịu rồi😅,@anhphamsim592,0,2 tháng trước
"Mời thêm Sang Vlog sinh tồn chung kết với Vũ Trụ Vlog mới gay cấn, chấn động VN luôn á, còn mấy người khác chưa đủ trình :(",@hienlovetv,0,2 tháng trước
Chào Lâm.video quá hây và hấp dẫn.Chúc em và ê-kíp luôn thành công.Có cơ hội nào cho mình một vé tham gia Sinh tồn được không.Cảm ơn Lâm nhiều.Chúc luôn mạnh khỏe.,@DelightMunch,0,2 tháng trước
Trên vùng cao nguyên đi chú,@thaitruongpham6128,0,2 tháng trước
"Mình mua ở đó không được, có thể liên hệ trực tiếp mua bên ngoài được không. Mình rất muốn tham gia cuộc thi tới đây ak.",@ThienNguyen-f3h8t,0,2 tháng trước
Tuyệt vời❤,@Nhatkysinhtontv,0,2 tháng trước
Đừng để mấy cu nhóc đốt lửa bừa bài trong rừng vậy em ơi. hậu quả nặng nề không giải quyết nổi đâu. Dẹp ngay đi còn kịp,@anhphamsim592,0,2 tháng trước
em mới vừa đặt 1 chiếc áo hi vọng được anh mời :)),@phuctrong3940,0,2 tháng trước
Anh lâm ơi anh nhanh xe ri mơi nhất đi anh lâm😊😊😊😊😊😊😊❤❤❤,@KỳVăn-f8e,0,2 tháng trước
cách đăng ký tham gia ạ,@PhúcNguyễn-k4u,0,2 tháng trước
A,@DễThị-c8i,0,2 tháng trước
kỹ năng mấy anh này còn yếu quá,@NghiaPhan-wt4sl,0,1 tháng trước
"10,9tr sud khủng quá bạn ơi👍👍👍❤️",@uclevan144,0,1 tháng trước
Helo anh lăm,@SangNguyễnHùynh-f9h,0,1 tháng trước
 @nhanle0307 Sang vl nói k với diễn😂,@LyNguyen8-k7x,0,1 tháng trước
Áo hết hàng hết rồi,@trieuphu3254,0,1 tháng trước
​ @quangluanle6372  t đang đăng kí mà ko được. Để t vô rồi coi idol vũ trụ m tuổi j😂😂😂,@trieuphu3254,0,1 tháng trước
​ @trieuphu3254  là sao nữa,@quangluanle6372,0,1 tháng trước
 @trieuphu3254  ĐANG HÓNG BẠN ZÔ,@quangluanle6372,0,1 tháng trước
Tập 1 đâu anh😃,@PhátDương-m6e,0,1 tháng trước
T ko cần những thứ gì m vẫn sinh tồn được huống chi,@mario_2025-rio,0,1 tháng trước
CT,@ThắmKiều-b5m,0,3 tuần trước
Thấy cá nhìu mà mấy ông ít bắt quá,@Hoàng77-KaKa,0,2 tuần trước
"Anh Lâm ơi, làm Gala người quán quân các tập rồi thì làm luôn Gala Á Quân đi anh, thấy Á Quân nào cũng hay hết",@Moinguoimotcuocsong,0,2 tuần trước
Vũ trụ làm liều hay cư trú đẹp   mê nha,@HuỳnhMai-s6z,0,2 tuần trước
"Sinh tồn trong rừng thì Hiếu tv số 1, sinh tồn biển thì Vũ trụ cũng số 1. Mình nghĩ vậy.",@TienNguyen-fr2cs,0,2 tuần trước
Nếu mua áo bên vào cách nào để màu áo bên e,@PhongXuan-f2d,0,2 tuần trước
Mua áo bằng áo bằng cách nào nào,@PhongXuan-f2d,0,2 tuần trước
Làm sao mà đấu với vũ trụ hỉ😂😂😂,@HaiNguyen-x4s7q,0,2 tuần trước
Cho mình theo với,@ĐộVăn-s2n6l,0,2 tuần trước
Tập này dễ hơn tập ngoài biển mà tạch sớm quá,@HữuTấn-g4e,0,2 tuần trước
tánh linh bình thuận xã suối kiết,@nhanNguyen-em8og,0,2 tuần trước
"Mới xem xong Vũ Trụ vlog sinh tồn 10ngày trên đảo hoang chỉ bằng con dao, tự tạo lửa😅.nể luôn",@KhangVũ-d1f,0,2 tuần trước
0,@minhtannguyen-o7f,1,2 tuần trước
Tú càng ngày càng chán:))) thiệt luôn thay đổi nhiều quá lúc trước còn đỡ,@DoanVanPhat,0,3 tuần trước
.,@vitgaming4240,0,3 tuần trước
.,@ChipSợYêu-v8d,0,3 tuần trước
"Sau video này mới biết đến ông Vũ trụ , đầu clip thấy ổng chọn vị trí làm nơi trú ẩn là lấy ổng win rồi. 👍",@GunKillShot-404,0,3 tuần trước
Anh Vũ Trụ quá đỉnh,@minhnhut8613,0,3 tuần trước
Ông vũ trụ sinh tồn hay thật,@BaoTV.10X,0,3 tuần trước
Ae tui mà sinh tồn trong rừng có khi khá lâu chưa ở đó mà 5ngay xi nhê j,@AnNguyễn-o2m1r,0,3 tuần trước
Gala chắc dừng sớm bớt đau khổ...chứ Vũ Trụ kia hơi mạnh😂,@ThắngDinh-z3k,0,3 tuần trước
Tú đi theo tấu hài thì đc😂,@46c-cnnguyenngoctu88,0,3 tuần trước
Gọi ngay con Boss tới tham gia trương trình.thì các thí sinh kia chỉ như là mũi chích iNoc.các em tham gia kĩ năng sinh tồn còn quá yếu.chỉ là tham gia trãi nghiệm cho vui thôi.mà xem video còn cười vì sự hồn nhiên như cô tiên của máy nhóc mà🤣,@lamchanbao4803,0,3 tuần trước
.,@quytin4k11,0,3 tuần trước
Toàn mấy thằng con nhà công tử đi sinh tồn😂,@NguyenKevin-t6p,0,3 tuần trước
"Vũ Trụ nói chuyện êm tai mà còn rất giỏi, kĩ năng sinh tồn thì thượng thừa",@hoanchungpham,0,3 tuần trước
Mới vô coi nhìn mặt là biết trâu đến cùng rồi,@TomTom-p7y,0,3 tuần trước
"Nhìn ông vũ trụ phong thái rất bình tĩnh ,nhẹ nhàng,xem mà mê luôn",@NgọcAnh-m9x,0,3 tuần trước
Solo sao lại với ôg vũ trụ 😂,@toannguyen-jb8oj,1,3 tuần trước
"Chơi rất điềm đạm, hiền lành và đẳng cấp. T sẽ đăng ký Vũ Trụ Vlogs.",@NgocQuanBui-z3l,0,3 tuần trước
"Các em tem LâmVlog thiếu sáng tạo quá, sao không làm chủ đề sinh tồn trong Resort 5 sao...",@wenchuchee,0,3 tuần trước
Ra tập ngoài biển nữa đi a,@Susuchien1,0,3 tuần trước
"Ôi !! có ông vũ trụ Vlog vào sinh tồn cái nó cuốn hẳn luôn ạ, có ai giống mình tim cái đi 😅😅",@nhưtiên-f8c,0,3 tuần trước
Ngáo z ní,@tutran007,0,3 tuần trước
Vũ trụ ok phết 😂,@nihonkonokitrinh6458,0,3 tuần trước
Yeahhh!!! Vũ Tru won.  He is my most favorite,@Mykoi123,0,3 tuần trước
Xem 2 thang doi nha kem qua,@phungbaymb,0,3 tuần trước
Vũ Trụ vlog nhìn nhàn vậy 😸,@Cgggggggggg2556,0,3 tuần trước
Sang vlog nhiều sup thui chứ tuổi gì với Vủ Trụ😂,@PhiBưởiDaXanh,1,3 tuần trước
"Kĩ năng sinh tồn ở nơi hoang vu thực sự rất quan trọng mà. Lơ ngơ là tối mơ thấy ông bà liền😂. Nếu là mình thì ngoài bắt cá, còn có thể đi bẫy chim chuột kiếm tí thịt cho nó bén",@CanhQuanVietNam,0,3 tuần trước (đã chỉnh sửa)
.,@ximuoi113tvximuoi2,0,3 tuần trước
Chơi gì đầu hàng lần 1:nùi vậy chèn 😂,@NetworkPi-y6r,0,4 tuần trước
Vũ trụ kĩ năng sinh tồn cao,@VanvuVo-hh5yl,0,4 tuần trước
Game này quá dể,@ThuK-zr4cl,0,4 tuần trước
thích xem vũ trụ vlog sinh tồn hầu như ổng đi sinh tồn chỉ cầm 1 con dao duy nhất ❤❤❤,@Solongnuonghanhmo19,0,4 tuần trước
h,@HuongNguyen-y5k5k,0,4 tuần trước
"Tú sinh tồn quá kém, lười kinh khủng, lười mà biện minh là bảo tổn năng lượng. Chòi thì không làm, đi kiếm đồ ăn thì không kiếm, chịu đói hết nổi thì chịu thua, nói chung quá vô dụng, Lâm trả lương để nhân viên làm video kiểu này thì ối giời ôi, yêu cầu team không cho các thành phần vô dụng này vào các video sinh tồn",@thanhvinhnguyen8849,0,4 tuần trước (đã chỉnh sửa)
Có cho Nữ chơi ko anh,@tiepho3558,0,4 tuần trước
sếp giang nhìn trẻ quá 😂,@TuanLe-sj7hu,0,1 tháng trước
vũ trụ vlog và đối thủ nhẹ kí của a ấy,@phucnguyen-cf8ff,0,1 tháng trước
mình có xem vũ trụ nên nghĩ sẽ thắng khi chưa xem video đã cmt,@tr-nh-qu,0,1 tháng trước
Vũ trụ vlog bá vl 😂,@Gấu-h3h,0,1 tháng trước
Vũ trụ nhìn gầy da ngăm đúng chất dân sinh tồn 😅,@kiemtienonline3657,0,1 tháng trước
Nhìn mấy cậu ấm chán nhể 😂,@KimtoanVo-b4o,0,1 tháng trước
Anh vũ trụ đúng chất sinh tồn 😮,@MinhTinhLe-vq5li,0,1 tháng trước
th Giang lè nhà lè nhè rách việc thật,@tegony1,0,1 tháng trước
Tú chán quá,@nguyenphong2507,0,1 tháng trước
Xem đầu video mình đoán vũ trụ thắng,@PhuongLieu75,0,1 tháng trước
"T mê ông vũ trụ rồi nha, kỹ năng đỉnh",@NhịnHoàng-l7b,0,1 tháng trước
Cho thêm gói gia vị nữa uk,@lamvlog8944,0,1 tháng trước
Cao thủ Sinh tồn là đây ❤,@thihennguyen7650,0,1 tháng trước
"Bạn vũ trụ rất chịu khó,có khí chất của người làm vườn và hay đi rừng,thân thiện vui vẻ nữa",@SonNguyen-eo6gh,0,1 tháng trước
Toàn người không có kinh nghiệm,@hinu-h9d,0,1 tháng trước
Ai solo sinh tồn và tui Ko,@TâyNhất-e9p,0,1 tháng trước
Mình nghĩ nên thêm có muối hoặc muối hảo hảo cho mấy bn ăn đở nhạt 😅 nhìn ăn nguyên bản tội wá😂,@KhanhLinh-rg4kp,0,1 tháng trước
ít ra sinh tồn phải cho ng ta cầm cái rựa hoặc con dao,@TyMinh-n3p,0,1 tháng trước
Vừa coi dc tí thấy ông Vũ Trụ thắng chắc rồi 🥹🥹🥹,@tanhoale3357,0,1 tháng trước
❤❤❤,@BinBa-m7t,0,1 tháng trước
Ô vũ trụ có nhìu kinh nghiệm,@sonsailam2802,0,1 tháng trước
❤❤❤❤ Không biết bao giờ được mời đấu thử sinh tồn mình chơi cả năm cũng được ❤❤❤❤,@thanhvungo9072,0,1 tháng trước
❤❤❤,@vantruongvlog21,0,1 tháng trước
Kkkkk ai chứ ông nội Vũ Trụ này ổng ở đâu k ở đc. Kkkk😂😂😂😂😂 trùm của trùm sinh tồn.,@HoaNguyen-hn8ts,0,1 tháng trước
Mê chú vũ trụ nha chú bình tĩnh làm việc gì cũng nhẹ nhàng mê luôn,@Yuna_san.,0,1 tháng trước
"Cái ông mà bẻ măng, đào khoai quen rừng rồi ở luôn trong rừng chắc cũng được",@ChuyênGiaKiểmĐịnhSP,0,1 tháng trước
edit xem cười xỉu 😂❤,@danhlam6700,0,1 tháng trước
Chưa xem mà t biết ai thắng rồi! Chơi gì lại vũ trụ 😅,@NamBa-d1t,0,1 tháng trước
"Sinh tồn hoài mấy map rừng, đảo, sa mạc, đồng ruộng như này hoài cũng chán rồi anh Lâm ơi. Có thể đổi 1 số map mới như: rừng ngập mặn, hoặc map khu đô thị bỏ hoang, sinh tồn trên đỉnh núi, 
Hoặc có thể đổi thể lệ 1 chút cho series sinh tồn này thú vị hơn, ví dụ  cho các bạn tự đóng 1 cái bè và thả ra hồ dầu tiếng cho sinh tồn trên đó.",@kyluan93,0,1 tháng trước
hay,@animetvpro4364,0,1 tháng trước
Mua sản phẩm là đc thảm gia hả a,@qcamp2529,0,1 tháng trước
"Đã có Best Vũ Trụ ... Thì chỉ có Sang Vlog , Anh Bông , Em Sanh mới Cân nổi ... Cho mấy AE tàn sát lẫn nhau chắc là  đỉnh lắm 🎉🎉🎉❤❤❤❤❤",@MinhMinh1989VN,2,1 tháng trước
Ông vũ trụ sinh tồn hay vãi🎉,@HuyềnKim-c2u2q,0,1 tháng trước
❤,@VũHuyềnLê-x2l,0,1 tháng trước
"đáng lẽ ra mấy clip gọi là sinh tồn, team nên mời hoặc tuyển chọn kĩ chút cho clip hấp dẫn, chứ sinh tồn mà xem đơn giản quá hok gay cấn hấp dẫn",@THTuan,0,1 tháng trước
Sinh tồn kiểu gì mà không có động lực gì hết vậy. Kiểu chơi chơi cho có,@TienNguyen-mb1yp,0,1 tháng trước
Ông Vũ Trụ ổng sinh tồn chuyên nghiệp rồi. Team ông Lâm tham gia lót đường chứ nhìn mấy ổng lười vs chân quá,@Duagaming63,0,1 tháng trước
Lâm ơi cho mình đăng ký chơi với mình chỉ mình cách đăng ký và tham gia,@THincoivlog,0,1 tháng trước
"Vũ Trụ và Lâm  thật thà chất phát có nét giống nhau như hai anh em .
Vũ cố gắng rất nhiều để ra clip hay,trung thực cho mọi người xem . Xin Lâm và các khán giả trẻ có quý mến Vũ thì giới thiệu cho mọi người đăng ký cho Vũ mau lãnh nút vàng nha . ( Cô là khán giả lớn tuổi (gần 70)  trung thành của 2 kênh này và quý mến các thành viên lắm nhất là Vũ , Lâm và Toàn )",@lamnhatduy2830,7,1 tháng trước
E đăng ký chơi dc hong a,@HoangHuy-z7b,0,1 tháng trước
"Toàn thằng thông minh ,ko cần nhóm lửa luôn",@HoangHuy-z7b,0,1 tháng trước
"Anh vũ trụ quá đỉnh, từ đầu là thấy anh có kiến thức sinh tồn",@jingwenvlog1918,0,1 tháng trước
Lúc ân đi câu cá ngày 3 nhạc grow a garden kìa,@NhinChin-rc2uw,0,1 tháng trước
Ông vũ trụ bị out trình quá ròi,@DragonBlack-n4j,0,1 tháng trước
.,@HoàngNguyễn-d9l7x,0,1 tháng trước
hgt,@huyenocau3615,0,1 tháng trước
coi nữa tập thoi là đủ biết aii win luôn=))),@mr.nohacpe5268,0,1 tháng trước
Tym,@ĐÌNHTHINGUYÊN-g5k,0,1 tháng trước
Ông vũ trụ này ok nè lúc đầu thấy làm chỗ ngủ thôi là biết ông biết cách sinh tồn ròi😊,@nguyenrac182,0,1 tháng trước
"Sau này có làm clip sinh tồn thì cho thằng tú nó ở nhà đi anh Lâm, có nó đi tốn đồ ăn chứ chẳng được tích sự gì,nhìn nó như thằng làm biến, không có chút nào gọi là năng lực,clip sinh tồn nào có mặt nó là mất vui",@OngnoiMayne-wi3kz,0,1 tháng trước
Thông minh thật ban ngày ko lo nhóm lửa dụng trại đi.. tối mấy lọ chịu.. nói thật lỡ có bắt đk mồi trả nhé ăn sống 😂😂😂😂,@TopHoi,0,1 tháng trước
Phan thiết dơ cánh tay nào ae ơi,@oxiu2006,0,1 tháng trước
Nếu em tham gia chắc nhất luôn,@cuocsonglamthue.8913,0,1 tháng trước
Có ông Thương nữa mới hay,@datxike173,0,1 tháng trước
vũ trụ quá hay,@HoàngDungTrần-e4d,0,1 tháng trước
Nhìn ông vũ trụ thấy kĩ năng st đỉnh hơn mấy người còn lại❤,@Khangg-b1w,0,1 tháng trước
Vũ Trụ vlog cao thủ rồi ai chơi lại,@misinhsan6699,0,1 tháng trước
Ông Vũ trụ giỏi quá luôn í,@LuuThiyennhung2415,0,1 tháng trước
Chưa coi hết mà biết ai thắng từ vòng giới thiệu lun😂,@thuylethanh3682,0,1 tháng trước
ông vũ trụ sinh tồn nhàn thật =))),@MinhKhangNguyenPham-k9v,0,1 tháng trước
🍀,@QuanTran-jq7pu,0,1 tháng trước
Vũ trụ out trình quá 😂,@NghiaLuong-pb9wy,0,1 tháng trước
Kỹ năng của vũ trụ vlog là khổi bàn rồi.tôi mới coi thôi kết quả chưa biết nhưng nào nhưng chắc là ổng thắng.,@NamHoangphuc,0,1 tháng trước
Nhìn ông vũ trụ sây trại là biết bro rồi,@DfaoNhaan,0,1 tháng trước
tập này toàn công tử xem chán vc 😂,@TranHau-qt5mm,0,1 tháng trước
cái mặt ông áo xám giống thầy giáo 3,@16promaxIphone-t4u,0,1 tháng trước
Mời ông Vũ Trụ Vlos thì khỏi nói 😅 cha đó sinh tồn đỉnh à nha 😅 mấy khách mời kia gg là cái chắc,@KhaNguyen-zf3sr,0,1 tháng trước
♥️,@NamPham-bz5sh,0,1 tháng trước
2,@minhtanvo8395,0,1 tháng trước
vũ trụ vlog đúng chất là đi sinh tồn,@travjsalone895,0,1 tháng trước
Đoán vội vũ trụ tháng thì phải thì vũ trụ là vô sinh tồn ❤❤❤❤,@PhongMua-q4h,0,1 tháng trước
ℙ𝕣𝕖𝕞𝕚𝕦𝕞,@dang_loading,0,1 tháng trước
Vũ trụ trắng chắc rồi.,@PhiNguyen-cb8nx,0,1 tháng trước
Hi,@ThếTốngQuang,0,1 tháng trước
Hi. chào cả nhà.,@HuyOnTheGo,1,1 tháng trước
ước gì đc tham gia giao luu cùng a vũ trụ 1 game hẹ hẹ ❤ vừa stragames là thây có kêt quả rôi 😅,@BaoHuynh-vj6gh,0,1 tháng trước
Mới xem biết ai thắng luôn ak 😅,@SuongBui-c3x,0,1 tháng trước
"Anh ân, 9:37 9:39 Ân gói dấy bạt 😂",@trongtri01,0,1 tháng trước
Làm sao dc a Lâm mời chơi vậy a,@DuyDuy-h4x,0,1 tháng trước
Chơi này xog chắc về sổ sán là vừa 😂,@KhanhGia-h3k,0,1 tháng trước
Nếu mà tôi mà đi tham gia trong rừng như này cle bản thân mình sống một tháng luôn quá,@LangvănTân-x1j,0,1 tháng trước
Em có gửi Mail cho anh rồi ạ em muốn gia nhập team ạ,@nguyenhoainam3366,0,1 tháng trước
Từ lúc bắt đầu thử thách làm nơi trú ẩn là mình đoán được người nào sẽ bỏ cuộc sớm rồi mình thấy ông vũ trụ là ok nhất,@TrungHoàng-c2o,0,1 tháng trước (đã chỉnh sửa)
Haizzzzz vừa tạo acc gặp trùm cuối :(,@VuNguyen-ls4up,0,1 tháng trước
Vũ trụ out trình quá,@hoangbz6441,0,1 tháng trước
🎉🎉🎉,@GzhzhzhxZbzbz,0,1 tháng trước
Ông vũ trụ có khinh nghiệm sinh tồn luôn,@soolee1207,0,1 tháng trước
quả đỏ đỏ giống măng cụt ngoài bắc quả đấy tên quả chu gọi tên theo từng khu vựa đặc sản ăn ngon lắm anh,@linhvan547,0,1 tháng trước
Sao ekip ko đem theo lều ta 😂,@PhátTrần-j3b,0,1 tháng trước
tập này hây đồ đạc giống nhau thi đấu công bằng thắng bại tại kỹ năng,@2k4jinbei17,0,1 tháng trước
Hi anh,@Caucatunhien98,0,1 tháng trước
Vừa thấy Vũ là biết kết quả rồi… fan Vũ Trụ nha mọi người,@hauc.e.oofficial,0,1 tháng trước
Vũ trụ xứng đáng luôn á .,@OanhTiit,0,1 tháng trước
Vũ trụ out trình,@QuangDuc23,0,1 tháng trước
Trao giải cho sếp vũ trụ trước đi a lâm,@minhle-nl4kc,0,1 tháng trước
quá hay luôn . trong rừng này ai mà vip vip tí là chỉ cần 1 xẻng 1 riều hoặc cưa vs lửa là ở cả 100 ngày cũng được,@Sergeant-H2,0,1 tháng trước
Em đi đc ko anh Lâm em đi là ở 1 tháng luôn😊,@Tuanvlog-zx1yf,0,1 tháng trước
